Elements: All (Neon - Fermium)
Transitions: KL2 (Kalpha2), KL3 (Kalpha1), KM5 (Kbeta5 I), KM3 (Kbeta1), KM2 (Kbeta3), L3M5 (Lalpha1), L3M4 (Lalpha2), L3M1 (Ll), L2M4 (Lbeta1), L2N4 (Lgamma1), L3N5 (Lbeta2), L1M3 (Lbeta3), L3N7 (Lu), L3N7 (Lu), L3N7 (Lu), L3N7 (Lu), L3N7 (Lu), and L3N7 (Lu)
Energy Range: 150 eV - 100000 eV
Sorted by Energy

Column Definitions:

Ele.                = 1 - 4
A                   = 6 - 8
Trans.              = 10 - 16
Theory (eV)         = 18 - 30
Theory Unc. (eV)    = 32 - 43
Experimental Energy:
  Direct (eV)       = 45 - 59
  Direct Unc. (eV)  = 61 - 72
Blend               = 74 - 79
Ref.                = 81 - 91

Ele. A   Trans.  Theory (eV)   Unc. (eV)    Direct (eV)     Unc. (eV)    Blend  Ref.       
S        L3M1    151.29        0.80         148.66          0.79         L2,3M1 1d
Cl       L3M1    183.31        0.83         182.60          0.36                1d
P        L1M3    186.4         1.0                                              
Ar       L3M1    219.52        0.77         220.22          0.58                1d
S        L1M3    224.96        0.72                                             
K        L3M1    260.38        0.91         259.703         0.081               1d
Cl       L1M3    266.62        0.52                                             
Ca       L3M1    302.80        0.77         302.69          0.22                1d
Ar       L1M3    311.35        0.69                                             
Ca       L3M4                               341.27          0.28         L3M4,5 1d
Ca       L3M5                               341.27          0.28         L3M4,5 1d
Ca       L2M4                               344.97          0.28                1d
Sc       L3M1    348.70        0.99         348.36          0.43                1d
K        L1M3    361.52        0.71                                             
Sc       L3M5                               395.48          0.56         L3M4,5 1d
Ti       L3M1    396.7         1.0          395.35          0.37                1d
Sc       L3M4    400.64        0.60         395.48          0.56         L3M4,5 1d
Sc       L2M4    405.35        0.62         399.69          0.38                1d
Ca       L1M3    415.80        0.67                                             
V        L3M1    447.5         1.1          446.46          0.24                1d
Ti       L3M5                               452.16          0.49         L3M4,5 1d
Ti       L3M4    455.57        0.61         452.16          0.49         L3M4,5 1d
Ti       L2M4    461.88        0.64         458.35          0.50                1d
Sc       L1M3    471.36        0.97                                             
Cr       L3M1    500.3         1.1          500.33          0.30                1d
V        L3M5                               511.27          0.94         L3M4,5 1d
V        L3M4    513.54        0.63         511.27          0.94         L3M4,5 1d
V        L2M4    521.74        0.65         519.2           1.3                 1d
Ti       L1M3    529.9         1.1                                              
Mn       L3M1    557.6         1.1          556.22          0.37                1d
Cr       L3M4    572.94        0.64         572.9           1.2          L3M4,5 1d
Cr       L3M5    576.95        0.30         572.9           1.2          L3M4,5 1d
Cr       L2M4    582.76        0.67         582.90          0.41                1d
V        L1M3    591.5         1.2          585.1           3.7          L1M2,3 1d
Fe       L3M1    617.0         1.2          615.30          0.45                1d
Mn       L3M4    639.42        0.66         637.44          0.49         L3M4,5 1d
Mn       L3M5    640.44        0.69         637.44          0.49         L3M4,5 1d
Mn       L2M4    651.32        0.69         648.8           1.0                 1d
Cr       L1M3    653.8         1.3          653.9           1.0          L1M2,3 1d
Co       L3M1    679.3         1.2          677.80          0.44                1d
Fe       L3M4    707.46        0.67         704.8           1.2          L3M4,5 1d
Fe       L3M5    708.38        0.70         704.8           1.2          L3M4,5 1d
Fe       L2M4    721.07        0.70         718.32          0.62                1d
Mn       L1M3    723.5         1.4          721.2           1.2          L1M2,3 1d
Ni       L3M1    744.5         1.2          742.72          0.59                1d
Co       L3M4    778.71        0.69         776.25          0.43         L3M4,5 1d
Co       L3M5    779.52        0.71         776.25          0.43         L3M4,5 1d
Fe       L1M3    793.8         1.4          792.2           1.5          L1M2,3 1d
Co       L2M4    794.27        0.72         791.41          0.60                1d
Cu       L3M1    811.7         1.3          811.08          0.71                1d
Ne       KL2     849.09        0.54         848.61          0.26         KL2,3  1d
Ne       KL3     849.17        0.54         848.61          0.26         KL2,3  1d
Ni       L3M4    853.19        0.71         851.47          0.26         L3M4,5 1d
Ni       L3M5    853.87        0.72         851.47          0.26         L3M4,5 1d
Ne       KM2                                857.89          0.44         KM     1d
Ne       KM3                                857.89          0.44         KM     1d
Ne       KM5                                857.89          0.44         KM     1d
Co       L1M3    867.4         1.5          866.4           2.7          L1M2,3 1d
Ni       L2M4    870.95        0.74         868.77          0.54                1d
Zn       L3M1    883.6         1.4          884.3           1.9                 1d
Cu       L3M4    929.38        0.72         929.68          0.31         L3M4,5 1d
Cu       L3M5    929.71        0.74         929.68          0.31         L3M4,5 1d
Ni       L1M3    944.3         1.6          940.7           1.1          L1M2,3 1d
Cu       L2M4    949.11        0.76         949.84          0.32                1d
Ga       L3M1    958.5         1.3          957.17          0.22                1d
Zn       L3M4    1011.87       0.75         1011.77         0.37         L3M4,5 1d
Zn       L3M5    1012.21       0.75         1011.77         0.37         L3M4,5 1d
Cu       L1M3    1022.0        1.6          1022.79         1.00         L1M2,3 1d
Zn       L2M4    1034.76       0.80         1034.65         0.38                1d
Ge       L3M1    1037.3        1.4          1036.21         0.51                1d
Na       KL2     1041.77       0.51         1040.98         0.12         KL2,3  1d
Na       KL3     1041.94       0.51         1040.98         0.12         KL2,3  1d
Na       KM2                                1071.12         0.27         KM     1d
Na       KM3                                1071.12         0.27         KM     1d
Na       KM5                                1071.12         0.27         KM     1d
Ga       L3M4    1098.03       0.75         1097.97         0.14         L3M4,5 1d
Ga       L3M5    1098.59       0.76         1097.97         0.14         L3M4,5 1d
Zn       L1M3    1108.4        1.6          1107.0          1.0          L1M2,3 1d
As       L3M1    1119.5        1.3          1119.78         0.15                1d
Ga       L2M4    1124.82       0.79         1124.76         0.30                1d
Ge       L3M4    1187.91       0.78         1188.01         0.13         L3M4,5 1d
Ge       L3M5    1188.66       0.78         1188.01         0.13         L3M4,5 1d
Ga       L1M3    1197.9        1.7          1196.9          1.4          L1M2,3 1d
Se       L3M1    1205.3        1.3          1204.41         0.17                1d
Ge       L2M4    1218.91       0.82         1218.50         0.18                1d
Mg       KL2     1254.14       0.49         1253.437        0.013               2d
